Feature,Mean |SHAP value|
month_cos,18.988370960525142
us_aqi,10.214304045318638
aqi_rolling_max_24h,4.936865615346768
day_of_month,2.9781178090399876
aqi_rolling_min_24h,2.7373742394523464
aqi_lag_24h,2.603290538373427
pm2_5_to_pm10_ratio,2.084487074634971
pm2_5_rolling_mean_24h,1.8032216109474704
month,1.518987337951931
aqi_lag_12h,1.5099006219164857
aqi_rolling_mean_24h,1.313978727770307
aqi_rolling_std_24h,0.7008712787147136
pm10_lag_24h,0.6634990567608741
day_of_week,0.42611840629638387
pm2_5_rolling_std_24h,0.17988292117635735
