Feature,Mean |SHAP value|
us_aqi,24.09957526033415
no2_to_co_ratio,11.955728084906527
pm2_5_rolling_mean_24h,5.6777996408657945
aqi_rolling_max_24h,5.664457549218208
aqi_rolling_min_24h,3.0737344778648823
month_cos,2.351047144011022
pm2_5_rolling_std_24h,1.6528636892833455
aqi_rolling_std_24h,1.0068157767635173
day_of_month,0.9507331272294001
pm2_5_to_pm10_ratio,0.6731338627615473
aqi_change_24h,0.6660560064621645
aqi_lag_24h,0.5428946558344352
day_of_week,0.3984785703757731
aqi_momentum_24h,0.36300298372175815
aqi_momentum_6h,0.3236551258451489
